userId,profile
1,"This person likes movie genres such as Thriller, Crime, Drama, Action, Horror, Comedy."
2,"This person likes movie genres such as Action, Adventure, Comedy, Science Fiction, Thriller, Western, Family, Animation, Drama."
3,"This person likes movie genres such as Adventure, Action, Thriller, Comedy, Science Fiction, Family, Drama, Mystery."
4,"This person likes movie genres such as Family, Animation, Action, Adventure, Fantasy, Comedy, Drama, Romance, Thriller, Science Fiction, Crime."
5,"This person likes movie genres such as Fantasy, Action, Thriller, Science Fiction."
6,"This person likes movie genres such as Comedy, Crime, Action, Thriller, Science Fiction."
7,"This person likes movie genres such as Action, Adventure, Science Fiction, Thriller, Crime, Drama, Fantasy."
8,"This person likes movie genres such as Thriller, Action, Crime, Drama, Fantasy."
9,"This person likes movie genres such as Action, Drama, Crime."
10,"This person likes movie genres such as Action, Comedy, Crime, Horror, Thriller, Drama, Adventure, Fantasy, Science Fiction, Mystery, Family."
11,"This person likes movie genres such as Action, Science Fiction."
12,"This person likes movie genres such as Action, Drama, Adventure."
13,"This person likes movie genres such as Action, Adventure, Science Fiction, Crime, Drama, Mystery, Thriller."
14,"This person likes movie genres such as Drama, Action, Thriller."
16,"This person likes movie genres such as Action, Thriller, Crime, Drama, Adventure, Fantasy, Science Fiction."
17,"This person likes movie genres such as Comedy, Drama, Adventure, Action, Science Fiction, Thriller, Crime."
18,This person likes movie genres such as Action.
20,"This person likes movie genres such as Thriller, Action, Comedy, Crime, Drama, Adventure, Science Fiction."
21,"This person likes movie genres such as Comedy, Family, Crime, Drama, Mystery, Thriller, Science Fiction, Adventure, Action, Horror."
22,This person likes movie genres such as Fantasy.
23,"This person likes movie genres such as Action, Drama, Thriller, Adventure, Science Fiction, Comedy, Family, Animation."
24,"This person likes movie genres such as Crime, Drama, Horror, Romance."
25,"This person likes movie genres such as Action, Thriller, Crime, Drama."
26,"This person likes movie genres such as Action, Thriller, Horror, Science Fiction."
27,"This person likes movie genres such as Adventure, Action, Science Fiction, Comedy, Drama, Thriller, Fantasy."
