itemId,title,category,description,option1,option2,option3
B000P4B7C6,Neotech Acoustic Guitar Bridge Pins (7901124),"Cell Phones and Accessories, Cases, Holsters and Sleeves","The neoprene <b>Wireless Pouchandtrade;</b> offers a safe and convenient way to carry your wireless transmitter. It attaches quickly and securely to most straps using touch fasteners which wrap around your strap. This attachment system also incorporates elastic grippers which keep the pouch firmly in place. Openings in the pouch accommodate cord and antenna configurations of most transmitters. Protecting your gear from dust, moisture and impact is made easy with the <b>Wireless Pouchandtrade;</b>. Give it a try!<br><br>The <b>Wireless Pouchandtrade;</b> is available in the following sizes:<ul><li><b>Small:</b> 3.5"" x 2.5"" x .8"" (8,6cm x 6,4cm x 2cm) </li><li><b>Medium:</b> 4"" x 2.5"" x .8"" (10,2cm x 6,4cm x 2cm)</li></ul>For even more versatility, see our <b>Wireless Pouchandtrade; Adaptor Kit</b> (sold separately) for using the <b>Wireless Pouchandtrade;</b> with a variety of strap/belt sizes, or for concealing the transmitter on the body for use in theatre or film.","Attaches easily and securely with touch fasteners to most straps while elastic grippers hold it firmly in place., Conforms snugly to the transmitter to protect it from impact, dust and moisture., Keeps your transmitter readily available and close to your instrument at all times., Approx. size: 4.0"" X 2.5"" X 0.8"" (10.2cm X 6.4cm X 2cm)",Neotech,5910
B000PIHG9U,Universal Flip Phone Case,"Cell Phones and Accessories, Cases, Holsters and Sleeves, Basic Cases","This popular universal phone pouch is our best selling model - inexpensive, stylish and well made. Fits numerous models of clamshell, or andapos;flip phonesandapos; including the LG VX8300, LG 125, LG 225, and numerous other phones: Ampd Mobile Angel, Hollywood, Jet, Audiovox 8910, Audiovox 8912, SYNC a707, Firefly, Kyocera Candid KX 16, LG 1200, LG 5225, LG AX355, LG AX390, LG AX490, LG AX5000, LG C1500, LG C2000, LG CG225, LG CG300, LG CU320, LG L1400, LG L1400i, LG LX150, LG LX350, LG Migo, LG PM-225, LG VI-125, LG VI-5225, LG VX3200, LG VX3400, LG VX3450, LG VX3450L, LG VX5200, LG INpulse VX5200, LG VX8300, C290, V195, V220, V235, V262, V276, V276, V300, V360, V365, V400g, V551, V557, V600, V60gi, V60p, V60s, V60v, V60x, V65P, Motorola W315, Nokia 6101, 6102, 6102i, 6103, 6133, 6165i, 6215, 6215i, Pantech C3, C300, PN-218; Samsung A560, A580, A640, A650, A660, A670, A850, A870, A900M, A930, A990, C417, D307, D357, E317, E335, E635, M500, MM-A880, MM-A900, MM-A920, P107, P207, PM-A740, PM-A840, T209, T309, T609, T629, T719, VI-A820, VI660, X495, X497, ZX10; Sanyo 8300, 8400, MM-7500, MM-8300, SCP-200, SCP-2400, SCP-3100, VI-2300; Sony-Ericsson Z300, Z520a, Z525a; Virgin Mobile Oystr, Slider Sonic, Snapper, Vox 8610. Newly added compatible phones include: Samsung Convoy, Verizon LG Revere, Pantech Breeze, Pantech Breeze 3, Samsung Rugby 4, ZTE Z222, LG 440g and Doro PhoneEasy 618. (phone pictured is not included)","Stylish, universal flip phone pouch with belt clip., ""Fits numerous folding clam-shell style phones (see compatibility list below)."", Attractive black synthetic leather design., Soft interior protects and cradles your phone., Compatible phones include: Samsung Convoy, Verizon LG Revere, Pantech Breeze, Pantech Breeze 3, Samsung Rugby 4, ZTE Z222, LG 440g, Doro PhoneEasy 618, and more.",GizmoCo,9770
B0014KOB6Y, Wilson Electronics - DT - Cell Phone Signal Booster for Small Home or Office,,"""Designed to give the best results when used in a single room, theand#xA0;Wilson Electronics Desktop (DT) Cell Phone Signal Boosterand#xA0;increases your cell phones signal by more than 15 times. It significantly improves your cell phones overall performance by minimizing dropped calls, increasing data rates, and letting you enjoy clearer reception, making the Wilson DT the ideal solution in an office or at home."", ""Designed to give the best results when used in a single room, the <b>Wilson Electronics Desktop (DT) Cell Phone Signal Booster</b> increases your cell phones signal by more than 15 times. It significantly improves your cell phones overall performance by minimizing dropped calls, increasing data rates, and letting you enjoy clearer reception, making the Wilson DT the ideal solution in an office or at home."", <table cellpadding=""10"" cellspacing=""0"" border=""0"" width=""250"" align=""right""><tr><td><table cellpadding=""0"" cellspacing=""0"" border=""0"" width=""100and#37;""><tr><td><img src=""https://images-na.ssl-images-amazon.com/images/G/01/wireless/detail-page/c26-BOO11G1950-callout-t.jpg"" border=""0""></td></tr><tr><td background=""https://images-na.ssl-images-amazon.com/images/G/01/wireless/detail-page/c26-BOO11G1950-callout-m.jpg""><table cellpadding=""5"" cellspacing=""0"" border=""0"" width=""95and#37;"" align=""left""><tr><td><font size=""2""><br><center><b>DT Desktop Cell Phone<br> Signal Booster<br>At a Glance: </b></center><ul> <li>Boosts cell phone signal by more than 15x in your home</li> <li>Fewer dropped calls; faster data rates</li> <li>Easy installation with mounting hardware included</li> <li>Supports CDMA, TDMA, GSM and AMPS cell phone technologies</li> <li>Made in the USA</li></ul></font></td></tr></table></td></tr><tr><td><img src=""https://images-na.ssl-images-amazon.com/images/G/01/wireless/detail-page/c26-BOO11G1950-callout-b.jpg"" border=""0""></td></tr><tr><td align=""center""><a href=""https://images-na.ssl-images-amazon.com/images/G/01/wireless/detail-page/wilson-booster-801247-schematic-lg.jpg"" onclick=""window.open(this.href,null,\width=640,height=700\); return false;""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/wireless/detail-page/wilson-booster-801247-schematic-sm.jpg"" border=""0"" width=250 height=273></a><font size=""1""><font face=""Verdana""><em><b><br>Multiple mounting options ensure you\ll get the best possible signal. <a href=""https://images-na.ssl-images-amazon.com/images/G/01/wireless/detail-page/wilson-booster-801247-schematic-lg.jpg"" onclick=""window.open(this.href,null,\width=640,height=700\); return false;"">View larger</a>.</b></em></font></font></td></tr></table></td></tr></table><table cellpadding=""10"" cellspacing=""10"" border=""0"" width=""250"" align=""left""><tr><td align=""center""> <a href=""https://images-na.ssl-images-amazon.com/images/G/01/wireless/detail-page/DT-801247.jpg"" onclick=""window.open(this.href,null,\width=626,height=700,scrollbars=yes,resizable=yes,toolbar=no\); return false;""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/wireless/detail-page/DT-801247_SM.jpg"" border=0 width=250 height=280></a><br><font size=""1""><font face=""Verdana""><em><b>The Wilson Electronics Desktop (DT) cell phone signal Booster. <a href=""https://images-na.ssl-images-amazon.com/images/G/01/wireless/detail-page/DT-801247.jpg"" onclick=""window.open(this.href,null,\width=626,height=700,scrollbars=yes,resizable=yes,toolbar=no\); return false;"">View larger.</a></b></em></font></font></td></tr></table><b>It\s All About Power</b><br>The primary cause of dropped calls is low signal output power from the cell phone to the cell tower, which limits the phone\s ability to communicate with the tower. A typical cell phone provides merely one-fifth of a watt of output power. To address this problem, the amplifier and the outside antenna work together to increase the phone\s output power by more than 15 times over using just the phone alone., <b>Enjoy Premium Reception and Fewer Dropped Calls</b><br>If you have to go to the window or outside to be able to use your cell phone, you know the frustration of weak cell phone signal reception. Using state-of-the-art technology, the Wilson DT amplifies the signal both to and from the cell tower, increasing the power to penetrate through natural or man-made obstructions, thus enabling you to communicate where you were unable to before., ""The Wilson DT comes with a compact signal booster that fits neatly on your desk or small table, and it works best when placed in the room where youre experiencing problems with reception."", <b>Included Hardware for Multiple Mounting Options</b><br>The Wilson DT is connected via a coaxial cable to the outside antenna, which performs best when mounted outside of the building and pointed towards the nearest cell tower. The antenna may also be mounted on a window (again, best when aimed at the nearest cell tower), or on an outside wall; however, some performance may be lost., Once installed, the Wilson DT enhances the signal of multiple cell phones and data cards near the device. The result is that you will experience fewer dropped calls, clearer call quality, and improved data rates--even with 3G technologies., <b>Compatible with Most Cell Phone Models and Providers</b><br>The Wilson DT is compatible with all US and Canadian cellular providers, excluding iDEN, Nextel, and MIKE. Also, it supports CDMA, TDMA, GSM, and AMPS cell phone technologies, as well as data protocols such as GPRS, 1xRTT, HSDPA, EVDO, and EDGE. The use of radio distribution equipment that enhances, extends or amplifies a wireless signal may be prohibited without the consent of the wireless carrier upon whose network such equipment will be used. You should consult with your carrier before purchasing such equipment to use with that carrierandrsquo;s service., ""The Wilson DT Signal Booster includes a 30-day money-back guarantee and is backed by a one-year manufacturers warranty."", <b>Specifications</b><br><ul> <li>Frequency: 824-894 MHz / 1850-1990 MHz</li> <li>Amplifier Gain: 56dB / 56dB</li> <li>System Gain: 62dB</li> <li>Max Output Power: 1.3 watts</li> <li>Max RF (downlink): +9.5dBm</li> <li>Noise Figure: 3.5dB nominal</li> <li>Flatness: andplusmn;5dB</li> <li>Isolation: > 90dB</li> <li>Power Requirements: 120-240V AC, 50-60 Hz, 8W</li> <li>Connectors: TNC Female / F-Female</li> <li>Dimensions: 6.2 x 4.2 x 1.5 (inches)</li> <li>Weight: 0.64 lbs</li></ul>, ""<b>Whats in the Box</b><br>Includes everything you need for a full installation DT amplifier, on-board antenna, outside antenna, coaxial cables (20 feet and 30 feet), cable connector, wall bracket, mounting hardware for pole, wall or window mount, and AC power supply."", <br clear=""all""><table cellpadding=""0"" cellspacing=""0"" border=""0"" width=""800"" align=""center""> <tr> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/wireless/detail-page/wilson-booster-801247-users-bluetable.jpg"" border=""0"" width=""467"" height=""400""></td> <td align=""center""><a href=""https://images-na.ssl-images-amazon.com/images/G/01/wireless/detail-page/wilson-booster-801247-parts-lg-UPDATED.jpg"" onclick=""window.open(this.href,null,\width=295,height=700"" onclick=""window.open(this.href,null,\width=320,height=731\); return false;""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/wireless/detail-page/wilson-booster-801247-parts-sm-UPDATED.jpg"" border=""0"" width=""169"" height=""400""></a></td> </tr> <tr> <td align=""center""><br><font size=""1""><font face=""Verdana""><em><b>The Wilson DT is ideal for improving you cell phone signal and data rates in a single room. </b></em></font></font></td> <td align=""center""><br><font size=""1""><font face=""Verdana""><em><b>Everything you need for better reception<br>is included in the box. <a href=""https://images-na.ssl-images-amazon.com/images/G/01/wireless/detail-page/wilson-booster-801247-parts-lg-UPDATED.jpg"" onclick=""window.open(this.href,null,\width=295,height=700\); return false;"">View larger</a>.</b></em></font></font></td> </tr> </table><br clear=""all"">","STOP DROPPED CALLS: Boost 3G cell phone signals in your home and office. Use for peace of mind while on important business calls and while speaking to loved ones. With a signal boosting range of up to 1500 sq ft this device extends your existing cellphone coverage in one to two rooms. The booster simply amplifies your existing signal to give you more bars and maintain fast data speeds while you browse the internet or talk on the phone., WORKS WITH ALL U.S. CARRIERS: Verizon, ATandT, Sprint*, T-Mobile, Straight Talk, U.S. Cellular and many more. If you have a cell phone plan with any of the above carriers, this booster will work for you. Guaranteed to improve your existing connection across multiple devices simultaneously or your money back. *Government regulations in the U.S. prohibit boosting a particular frequency used by some of the Sprint network. Most Sprint customers still see performance improvement from weBoost signal boosters., FRUSTRATION FREE SET UP: The simple instructions and DIY installation make it easy to get your new booster set up and working quickly. All of the components you need for installation are included in the package with easy to read, step-by-step instructions. Some users report being able to set up the entire kit in as little as 10 minutes., ALL YOU NEED FOR INSTALLATION: Includes SignalBoost DT 60 dB Adjustable Gain Amplifier, Indoor Desktop Antenna, Outdoor Panel Antenna, Power Adapter, 20ft and 30ft Coax Cable, Installation Manual., CLASS LEADING WARRANTY: Backed by Weboosts class-leading 2-Year Manufacturer Warranty.",weBoost,85
B001UEIWQY,PHERAL FIT Hip Bands,"Cell Phones and Accessories, Cases, Holsters and Sleeves, Flip Cases",hip bands,"SUPERIOR OFFER  Hip Band + 3x Resistance Loops Bands (with 3 resistance levels) INCLUDED. We always love to offer more. With our Hip Band + the 3x Resistance Bands included, you can now train all the muscles in your body, even if you are a beginner or an expert. Our Hip Band is suitable for both men and women.",Manords,4300
B001X3Q2R8,Headphone Adapter Conncet to 3.5mm Aux Audio &amp; Charge Jack for iPhone X/XS/XS MAX/XR/8/8 Plus Headphone Support Music and Charger Dual Audio and Charging Adapter Compatible with iOS 12 System,"Cell Phones and Accessories, Accessories, Chargers and Power Adapters, Car Chargers",,"Perfect Design CompatibilityPerfect design compatibility with your for iPhone XS/XR/XS Max/ iPhone 7/iPhone 7 Plus/iPhone X/8/8 Plus, allowing you to enjoy music, enjoy digital life. (Supports iOS 10.3-iOS 12 or Later), Plug and PlayJust plug in your phone and connect the headset and charger cable, you can immediately enjoy the perfect fun of listening to music, phone calls and charging at the same time., Premium Sound QualityHeadphone / Earphone Jack Choose Smart Chipsets To Ensure The Genuine And Natural Sound Quality Without Distortion. Supports up to 48 kHz, 24-bit SNR - 95db audio output.(Note: This product does not support the call function)., Designed for Your daily Life Easy to bring with you outside and ensure the high quality of music, this item is perfect for your daily life or leisure time.(For Headphones / headsets / Speakers / car audio., Quality GuaranteeWe Sell Only High Quality Products. This will be a great choice for sending friends a birthday or holiday gift.But, if for some reason this product does not meet your requirements, we will provide 12-months full refund or replacement.",turelar,4096
B0023FTRUO,Headphone Jack Adapter for iPhone X Car Charger Adapter Earphone Audio Splitter Charge Connector 2 in 1 Dongle Adapter for iPhone X/XS MAX/XR/8/8P Support to Music and Charger for iOS 11 System,"Cell Phones and Accessories, Accessories, Chargers and Power Adapters, Car Chargers",,"Strong compatibility: compatible with iOS 12 system, listen to music + charging.3.5mm headphone jack adapter for iPhone7/plus/8/plus/iphone10/X/ and moregiving you more choices, Excellent quality: providing you with high speed, stable signal transmission and lossless digital sound quality. The high-quality aluminum alloy oxide shell is more wear-resistant, corrosion-resistant and improves the anti-interference ability. Let you enjoy clear, faithful sound and fast, full experience, Plug and playno need for any additional audio software, just plug the headphones into the jack to enjoy the music., Lightweight and portableYou can put it in a parcel or handbag and enjoy your music everywhere. When you travel, go out or drive home, you can take it with you. It can be used as a gift to your friends., Tips: We offer a 3-month warranty on the product to give you the best service. If you have any problems with the product, please feel free to contact us. We will serve you wholeheartedly! Please note: This adapter does not support phones call.",PHYNIBU,8914
B002BTWI62,"CulaLuva Magnetic Wireless Charger 2-in-1 Pad Stand Cable Compatible with Apple Watch, for iPhone X/8/8 Plus, Compatible with iWatch Series 1/2/3, 38mm 42mm, Samsung S8 Series, Note 8","Cell Phones and Accessories, Accessories, Smartwatch Accessories, Smartwatch Cables and Chargers",", Technical Specifications<br />-Input voltage: 5V 2A, 9V 1.67A<br />-Transmission Power: 5w--7.5-10W. <br />-Mobile phone output current: 5V/1A 9V/1.1A<br />-Watch output current: 5V 0.4-0.5A<br />-Transmission distance: 2mm-10mm, Compatible DeviceReplacement for <br />Compatible with Apple watch series 1/2/3. <br />- iPhone -- iPhone X, iPhone 8, iPhone 8 Plus. <br />- Samsung -- Note 8, S9/S8/S8 Plus/S7/S7 Edge/S7 Edge Plus, Package Included<br />-Wireless Charging Pad * 1<br />-User Manual * 1, Tired of coping different cable? Say no from now. It will charge your phone and watch at the same time., Fits for iPhone X/8/8 Plus,  iWatch Series 1/2/3, 38mm 42mm, Samsung S8 Series, Note 8, We adopt advanced PM2760 chip to monitor charging temperature automatically. Any overheat or short-circuit situation will be prevented from happening., No more cable messing. Just one charger for both device. Put your smart guys on the charger and it will charge automatically.","Mix 2 in 1  Enables to charge your smart phone and smart watch at the same time. Compatible with iphone X/8/8Plus. Samsung Note8/S8/S9 and Plus Series and iwatch 1/2/3., Upgraded Handy Design  Allows you to charge your smart watch without unfastening the band., Easy to use  No more cable messing. Just one charger for both device. Put your smart guys on the charger and it will charge automatically., Intelligent Overheat Protection  We adopt advanced PM2760 chip to monitor charging temperature automatically. Any overheat or short-circuit situation will be prevented from happening. 100% Safe for your device., Items included  Wireless Charger Pad * 1, User Mannual * 1. Promptly professional after sales service 7/24H. You are the only one that we care most.",CulaLuva,2199
B002JTWRN8,"Macally Car Cell Phone Cup Holder Mount for Apple iPhone XS XS Max XR X 8 8+ 7 7 Plus 6s 6 5s SE, Samsung S9 S9+ Note 8 Galaxy S8/S8+, LG, Nexus, Google Pixel 3, Motorola Moto, Smartphones, GPS (MCUP)","Cell Phones and Accessories, Accessories, Car Accessories, Car Cradles and Mounts",", ""<strong>Macally MCUP<br /> </strong>Give your iPhone/iPod a comfortable and secure resting place in your car, truck, or any other vehicle with this Adjustable Cup Holder. The adjustable base makes for a perfect fit in most car cup holders, while a flexible holder neck andamp; swivel holder suits your desired viewing angle and position. A swivel holder lets users view the iPhone/iPod vertically or horizontally, and the soft holder grips andamp; backing wont scratch your device. It is also very easy to take in and out of the phone when you get in and out of your car with the easy squeeze to lock in your device and one button push to release your device to let you get to do what you want to do.andnbsp;<br /> Works with:<br /> <br /> <strong>Compatible Phone Models:</strong><br /> * iPhone X / XS / XS MAX / XR / 8 / 8 Plus 7 / 7 Plus 6s Plus 6s 5s 5c<br /> * Samsung Galaxy S9 / S9 Plus /S8 S8 Plus S6 Edge Plus S6 S5 S4, etc.<br /> * Note 5 4 3<br /> * Google Pixel 3 XL Nexus 5 4 <br /> * Sony Xperia XZ3<br /> * One Plus 6T<br /> * Huawei Mate 20<br /> * Motorolla Moto<br /> * LG G4<br /> * And most smartphones, MP3 devices, and GPS with a width between 1.77 inches and 4.1 inches<br /> <br /> <strong>Worry-Free Warranty</strong><br /> At Macally, we believe in our products. Thats why we back them all with a one-year warranty and provide friendly, easy-to-reach support for any of your questions.<br />""","An adjustable firm grip mount fits the latest iPhones (XS, XS Max, XR, X, 8, 8+, 7, 7 Plus, 6s, 6 Plus, SE and previous generations), Samsung Galaxy S9 S9+ S8 S7 S6 S5, and ANY other mobile phones or devices between 1.77 inches and 4.1 inches in width, An adjustable base for a perfect fit in cars, trucks and other vehicles with standard sized cup holders, Adjustable flexible neck and 360-degree rotatable holder to suit your desired angle, Able to hold devices with the bulkiest of cases securely with its firm clamps and ""feet"" for support, One button device release to easily attach and detach your mobile device",Macally,2974
B002NE18IE, Samsung Original Genuine OEM Samsung Galaxy S3 2100 mAh Spare Replacement Li-Ion Battery with NFC Technology for All Carriers - Non-Retail Packaging - Silver,"Cell Phones and Accessories, Accessories, Batteries and Battery Packs, Replacement Batteries","Samsung Galaxy S III Standard Battery (2100mA). Samsung uses the latest Lithium Ion battery technology giving you the best performance possible. This Lithium Ion battery is designed specifically for your Samsung Galaxy S3 mobile phone to deliver the most reliable and long lasting power (2100 mAh). The Galaxy S III 2100 mAh battery is also NFC-enabled, letting your phone communicate with other devices and accessories equipped with NFC technology. OEM Part Numbers: EB-L1G6LL/EB-L1G6LLA/EB-L1G6LLZBXAR/EB-L1G6LLU/EB-L1G6LLUCSTD. This Battery is compatible with the following Samsung cell phone models: Samsung Galaxy S III SCH i535 - Samsung Galaxy S III SCH R530 - Samsung Galaxy S III SGH i747 - Samsung Galaxy S III SGH T999 - Samsung Galaxy S III SPH L710.","Genuine Samsung branded product ^This battery is NFC-enabled ^Battery Type: Li-ion, Voltage: 3.8V, Capacity: 2100mAh, Item model number: EB-L1G6LLA ^2100mAh battery allows you to store power necessary to keep your device charged throughout the day ^See description for compatibility, Contains: One Original Samsung Galaxy S3 Battery Part# EB-L1G6LLA/LZ/LU, Genuine Samsung branded product, This battery is NFC-enabled, Battery Type: Li-ion, Voltage: 3.8V, Capacity: 2100mAh, Item model number: EB-L1G6LLA/LZ/LU, 2100mAh battery allows you to store power necessary to keep your device charged throughout the day, See description for compatibility",Samsung,3204
B0035LAPMY,Car Charger for iPhone X headphone adapter charger Adapter 3.5mm Aux Headphone Jack Adaptor USB cable Charger Compatible for iPhone 8/8Plus //XS/MAX Support to Music and Charger Replacement for iOS 12,"Cell Phones and Accessories, Accessories, Chargers and Power Adapters, Car Chargers","""We provide a 3-Month Worry-free warranty.If you have any questions , please dont hesitate to contact us. PLEASE NOTE : This adapter does not support calling function and music control.This will be a great choice for sending friends a birthday or holiday gift.""","Premium Sound Quality: The 3.5mm audio jack output interface, professional design, supports up to 48 KHz, 26-bit audio output, can provides you with the perfect sound. Digital audio input port designed for 1P , small impedance, high sensitivity., ""Listening And Charging At The Same Time: It Supports Charging And Audio Outputting Simultaneously, Allows Connect Your 3.5mm Headphone / Earphone To lP. Perfect Design for lP X 10,1P8/8Plus,1P 7/7 Plus 6/6Plus,Also support iOS 11.3 or later.This adapter lets you connect devices that use a 3.5 mm audio plug to your lightning devicesThatS A Perfect Solution To Let You Enjoy The Music While Charging.Its a wonderful Chargers and Power Adapters."", HIGH QUALITY: 100% copper wire core provides you with high-speed and stable signal transmission. High quality Aluminum alloy oxidation shell is more wear-resisting and corrosion resistance, enhancing the anti-interference ability,High grade material with quality surface treatment,perfect match all 3.7 earphone,High fidelity on the music,bring you new experiences., Plug and Play: No extra software, you just need to plug and enjoy fidelity sound quality. Allow you to use your existing 3.5mm headphones with the new 1P 7 and 1P9 Plus., Warranty And Support: 7*24 Online Support Standing By, Worry-Free 100% Money-Back Guarantee, 14 Months Replacement Warranty And Life-Time Technical Support. If Any Questions Please Feel Free To Contact Our Customer Service.",DAEETO,3551
