userId,profile
5,This person likes anime genres such as .
7,"This person likes anime genres such as Comedy, Romance, Shounen, School, Supernatural, Drama, Adventure, Fantasy, Action."
17,"This person likes anime genres such as Comedy, Shounen, Drama, Adventure, Psychological, Fantasy, Action, Thriller."
29,"This person likes anime genres such as Comedy, Shounen, Sci-Fi, Drama, Adventure, Fantasy, Action."
38,"This person likes anime genres such as Supernatural, Shounen, Action."
43,"This person likes anime genres such as Comedy, Romance, Shounen, School, Supernatural, Adventure, Fantasy, Super Power, Action, Harem, Ecchi."
46,"This person likes anime genres such as Comedy, Romance, Shounen, School, Sci-Fi, Supernatural, Drama, Adventure, Slice of Life, Shoujo, Fantasy, Military, Action, Thriller."
120,"This person likes anime genres such as Comedy, Romance, Shounen, School, Supernatural, Drama, Adventure, Fantasy, Action, Ecchi."
123,"This person likes anime genres such as Comedy, Romance, Shounen, School, Sci-Fi, Supernatural, Drama, Adventure, Slice of Life, Seinen, Mystery, Shoujo, Fantasy, Josei, Action, Sports."
129,"This person likes anime genres such as Comedy, Romance, Shounen, Supernatural, Sci-Fi, Historical, Adventure, Martial Arts, Fantasy, Super Power, Action, Demons, Thriller, Ecchi."
139,"This person likes anime genres such as Supernatural, Adventure, Fantasy, Action, Thriller."
160,"This person likes anime genres such as Comedy, Romance, School, Supernatural, Sci-Fi, Drama, Historical, Adventure, Slice of Life, Shoujo, Horror, Fantasy, Mystery, Action, Music, Parody, Thriller."
210,"This person likes anime genres such as Supernatural, Drama, Adventure, Slice of Life, Fantasy, Sports, Shounen, Demons, Romance, Sci-Fi, Action, Parody, Harem, Comedy, School, Military, Super Power, Magic, Ecchi."
226,"This person likes anime genres such as Comedy, Romance, Shounen, School, Sci-Fi, Supernatural, Drama, Adventure, Seinen, Military, Fantasy, Super Power, Action, Demons, Sports, Harem, Ecchi."
233,"This person likes anime genres such as Comedy, Romance, Thriller, Shounen, Police, School, Sci-Fi, Supernatural, Drama, Mystery, Adventure, Fantasy, Action, Harem."
235,"This person likes anime genres such as Comedy, Shounen, Supernatural, Drama, Action, Sports."
244,"This person likes anime genres such as Comedy, Romance, Shounen, School, Sci-Fi, Supernatural, Drama, Adventure, Slice of Life, Fantasy, Action, Harem, Ecchi."
248,"This person likes anime genres such as Comedy, Romance, Shounen, School, Supernatural, Sci-Fi, Drama, Slice of Life, Psychological, Fantasy, Action, Music, Parody, Harem, Ecchi."
250,"This person likes anime genres such as Comedy, Romance, School, Sci-Fi, Supernatural, Drama, Slice of Life, Harem, Ecchi."
256,"This person likes anime genres such as Comedy, Romance, Shounen, School, Supernatural, Sci-Fi, Drama, Seinen, Slice of Life, Fantasy, Action, Demons, Parody, Harem, Ecchi."
261,"This person likes anime genres such as Comedy, Romance, Shounen, School, Sci-Fi, Supernatural, Drama, Slice of Life, Fantasy, Action."
271,"This person likes anime genres such as Comedy, Romance, Thriller, Shounen, School, Sci-Fi, Supernatural, Drama, Seinen, Slice of Life, Psychological, Fantasy, Action, Magic, Harem, Ecchi."
280,"This person likes anime genres such as Drama, Action."
